,TPP Active 5th August 2019-6:15 PM,Current Course,College Name,Matric Percentage (Xth),Matric Year of Passing,Matric BOARD,XII Percentage %,Best of XII or Diploma,XIIth Stream,XII : Year of Passing,XII Board,Diploma %,Diploma : Branch,Diploma : Passing Year,Diploma : College Name & City,Diploma : Board,CGPA Till 6th Sem -20-July-2019,Backlogs,Graduation : Year of Passing,Graduation : Course,Graduation : Stream,Graduation : College,Graduation : University Name,PG CGPA till 2nd Sem - 31 May 2019,Backlogs.1,State,Catagory,Gender,Details Of Additional Course/certification,"Experience (if Any), Company Name","Experience (if Any), Designation","Experience (if Any), Salary (per Year [lpa])","Experience (if Any), Duration Of Work (years Or Months)",Training Done At (write Company/institute Name),Training Location (city),Duration,Project Title (during 6 Week/1-2 Months),Project Software/language Name,BEST of E,BEST of Q,BEST of L,BEST of Write-X,BEST of CP,BEST of Domain,BEST of Automata,AGE,Company Name,Package From (in LPA),Package To (in LPA),Status
0,Yes,B.E - CSE,University Institute of Engineering (UIE),84,2013,Rajasthan board of secondary education,84.2,84.2,Non - Medical,2015,Rajasthan board of secondary education,,,,,,7.96,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Rajasthan,General,Male,,,,,,Excellence Technology,,,,,580,840,675,540,735,562,95,22,ZS Associates India Pvt. Ltd,6.53,6.53,On Campus
1,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2014,CBSE,81.8,81.8,Non - Medical,2016,CBSE,,,,,,7.8,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Punjab,SC,Female,Na,,,,,"Cdac , Mohali",Chandhigarh,Six Weeks,Fta Application,Android Studio/android,465,490,495,540,495,592,53,21,Nokia,3,3,On Campus
2,Yes,B.E - CSE,University Institute of Engineering (UIE),95,2013,CBSE,76.2,76.2,Non - Medical,2015,CBSE,,,,,,8.43,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Delhi(nct),General,Male,Cloud Computing,,,,,Ibm-kvch,Noida,Six Weeks,Hosting A Chatting Website,"Cloud Computing, Aws, Php",665,680,565,540,665,531,61,23,Verizon Data,5.52,5.52,On Campus
3,Yes,B.E - CSE,University Institute of Engineering (UIE),87.4,2013,CBSE,86.4,86.4,Non - Medical,2015,CBSE,,,,,,8.36,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,,,,,,C-dac,Mohali,Six Weeks,Hotel Predictions ,Bigdata,560,650,555,540,545,469,50,23,ZS Associates India Pvt. Ltd,6.53,6.53,On Campus
4,Yes,B.E - CSE,University Institute of Engineering (UIE),89.4,2013,Himachal Pradesh Board,80.6,80.6,Non - Medical,2015,Himachal Pradesh Board,,,,,,8.05,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,,,,,,A2it Mohali,Mohali,Six Weeks,Fitness Buddy,Android Studio With Sql,605,650,545,180,515,531,19,22,Capgemini,3.8,3.8,On Campus
5,Yes,B.E - CSE,University Institute of Engineering (UIE),89.4,2013,Himachal Pradesh Board,80.6,80.6,Non - Medical,2015,Himachal Pradesh Board,,,,,,8.05,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,,,,,,A2it Mohali,Mohali,Six Weeks,Fitness Buddy,Android Studio With Sql,605,650,545,180,515,531,19,22,Cognizant,3,3,On Campus
6,Yes,B.E - CSE,University Institute of Engineering (UIE),89.4,2013,Himachal Pradesh Board,80.6,80.6,Non - Medical,2015,Himachal Pradesh Board,,,,,,8.05,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,,,,,,A2it Mohali,Mohali,Six Weeks,Fitness Buddy,Android Studio With Sql,605,650,545,180,515,531,19,22,Wipro,3.5,3.5,On Campus
7,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2014,CBSE,84.4,84.4,Non - Medical,2016,CBSE,,,,,,8.04,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Certificate Of Training On Big Data,,,,,Excellence Technology,Chandigarh,Six Weeks,Wikipedia Internal Page Ranking,Hadoop/python,525,855,605,540,765,562,83,21,Capgemini,6.8,6.8,On Campus
8,Yes,B.E - CSE,University Institute of Engineering (UIE),81.7,2014,CBSE,84.4,84.4,Non - Medical,2016,CBSE,,,,,,8.04,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Certificate Of Training On Big Data,,,,,Excellence Technology,Chandigarh,Six Weeks,Wikipedia Internal Page Ranking,Hadoop/python,525,855,605,540,765,562,83,21,EPAM,6,6,On Campus
9,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,91.2,91.2,Non - Medical,2015,CBSE,,,,,,8.48,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Android,Na,Na,Na,Na,A2it Pvt Ltd,Mohali,45 Days,Fitbeast,Android,615,710,615,540,475,592,50,23,Capgemini,3.8,3.8,On Campus
10,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,91.2,91.2,Non - Medical,2015,CBSE,,,,,,8.48,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Android,Na,Na,Na,Na,A2it Pvt Ltd,Mohali,45 Days,Fitbeast,Android,615,710,615,540,475,592,50,23,Cognizant,3,3,On Campus
11,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,91.2,91.2,Non - Medical,2015,CBSE,,,,,,8.48,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Android,Na,Na,Na,Na,A2it Pvt Ltd,Mohali,45 Days,Fitbeast,Android,615,710,615,540,475,592,50,23,IBM,4.25,4.65,On Campus
12,Yes,B.E - CSE,University Institute of Engineering (UIE),76,2013,CBSE,91.2,91.2,Non - Medical,2015,CBSE,,,,,,8.48,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,Android,Na,Na,Na,Na,A2it Pvt Ltd,Mohali,45 Days,Fitbeast,Android,615,710,615,540,475,592,50,23,Wipro,3.5,3.5,On Campus
13,Yes,B.E - CSE,University Institute of Engineering (UIE),95.2,2014,Haryana Board of Education,90.8,90.8,Non - Medical,2016,CBSE,,,,,,7.52,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Tcil-it,Chandigarh,Six Weeks,Iis Using Windows Server 2012 R2 ,Networking,525,695,655,540,485,500,13,37,NIIT technolgies,3.5,3.5,On Campus
14,Yes,B.E - CSE,University Institute of Engineering (UIE),95.2,2014,Haryana Board of Education,90.8,90.8,Non - Medical,2016,CBSE,,,,,,7.52,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Tcil-it,Chandigarh,Six Weeks,Iis Using Windows Server 2012 R2 ,Networking,525,695,655,540,485,500,13,37,FinancialÿSoftware & Systems (P) Ltd. (FSS),4,4,On Campus
15,Yes,B.E - CSE,University Institute of Engineering (UIE),75.2,2013,Punjab School Education Board,81.4,81.4,Non - Medical,2015,CBSE,,,,,,8.46,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Haryana,General,Male,,,,,,Cbitss,Chandigarh,Six Weeks,Website Hosting With The Help Of Lamp Server Using Linux On Cloud Platform,"Linux, Aws",640,635,640,540,695,562,73,23,Teradata,8.9,8.9,On Campus
16,Yes,B.E - CSE,University Institute of Engineering (UIE),93.1,2013,CBSE,90.4,90.4,Non - Medical,2015,CBSE,,,,,,8.01,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,,,,,,Ams Techub,Mohali,Six Weeks,Care,Android,640,695,580,540,715,438,50,22,Capgemini,3.8,3.8,On Campus
17,Yes,B.E - CSE,University Institute of Engineering (UIE),93.1,2013,CBSE,90.4,90.4,Non - Medical,2015,CBSE,,,,,,8.01,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Uttar Pradesh,General,Male,,,,,,Ams Techub,Mohali,Six Weeks,Care,Android,640,695,580,540,715,438,50,22,Publicis Sapient,4.9,4.9,On Campus
18,Yes,B.E - CSE,University Institute of Engineering (UIE),89.3,2014,CBSE,90.2,90.2,Non - Medical,2016,CBSE,,,,,,8,0,2020,B.E,B.E - CSE,Chandigarh University,Chandigarh University,,,Himachal Pradesh,General,Male,Na,,,,,Niit Shimla ,Shimla,Six Weeks,Hangman Using Java,Java,735,770,565,540,575,654,48,22,IBM,4.25,4.65,On Campus
